uns'	uns	DET	DET.1.Poss.Pl.Fem.Acc	1.0	dict/vocab.json
unse	unse	DET	DET.1.Poss.Pl.Fem.Nom.arch	1.0	dict/vocab.json
unsen	unsen	DET	DET.1.Poss.Pl.Masc.Acc	1.0	dict/vocab.json
unser	unser	DET	DET.1.Poss.Pl.Masc.Nom.hd	1.0	dict/vocab.json
mien	mIn	DET	DET.1.Poss.Sg.Fem.Acc	1.0	dict/vocab.json
jue	jU	DET	DET.2.Acc.Fem.Pl.Poss	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Pl.Pl.Acc	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Pl.Pl.Nom	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Fem.Acc	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Fem.Nom	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Masc.Acc	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Masc.Nom	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Neut.Nom	1.0	dict/vocab.json
sien	sIn	DET	DET.3.Acc.Fem.Masc.Poss.Sg	1.0	dict/vocab.json
sien'n	sIn	DET	DET.3.Acc.Fem.Masc.Poss.Sg	1.0	dict/vocab.json
sin	sIn	DET	DET.3.Acc.Fem.Masc.Poss.Sg	1.0	dict/vocab.json
er	Er	DET	DET.3.Acc.Fem.Pl.Poss	1.0	dict/vocab.json
de	dE	DET	DET.Def.Acc.Pl	1.0	dict/vocab.json
de	dE	DET	DET.Def.Acc.Sg.Fem	1.0	dict/vocab.json
dat	dat	DET	DET.Def.Acc.Sg.Neut.mk	1.0	dict/vocab.json
de	dE	DET	DET.Def.Nom.Pl	1.0	dict/vocab.json
de	dE	DET	DET.Def.Nom.Sg.Fem	1.0	dict/vocab.json
de	dE	DET	DET.Def.Nom.Sg.Masc	1.0	dict/vocab.json
dat	dat	DET	DET.Def.Nom.Sg.Neut.mk	1.0	dict/vocab.json
düsse	düse	DET	DET.Dem.Acc.Pl	1.0	dict/vocab.json
diese	dIse	DET	DET.Dem.Acc.Sg.Fem	1.0	dict/vocab.json
düsse	düse	DET	DET.Dem.Nom.Pl	1.0	dict/vocab.json
düsse	düse	DET	DET.Dem.Nom.Sg.Fem	1.0	dict/vocab.json
en	En	DET	DET.Ind.Acc.Sg.Fem	1.0	dict/vocab.json
en'	En	DET	DET.Ind.Acc.Sg.Fem	1.0	dict/vocab.json
en	En	DET	DET.Ind.Acc.Sg.Neut	1.0	dict/vocab.json
en'	En	DET	DET.Ind.Acc.Sg.Neut	1.0	dict/vocab.json
en	En	DET	DET.Ind.Nom.Sg.Fem	1.0	dict/vocab.json
en'	En	DET	DET.Ind.Nom.Sg.Fem	1.0	dict/vocab.json
en	En	DET	DET.Ind.Nom.Sg.Masc	1.0	dict/vocab.json
en'	En	DET	DET.Ind.Nom.Sg.Masc	1.0	dict/vocab.json
en	En	DET	DET.Ind.Nom.Sg.Neut	1.0	dict/vocab.json
en'	En	DET	DET.Ind.Nom.Sg.Neut	1.0	dict/vocab.json
