-37	-37	-37	NUM
0	0	0	NUM
1	1	1	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
2	2	2	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
3	3	3	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
4	4	4	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
5	5	5	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
6	6	6	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
7	7	7	NUM
8	8	8	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
9	9	9	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
10	10	10	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
11	11	11	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
12	12	12	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
13	13	13	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
14	14	14	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
15	15	15	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
16	16	16	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
17	17	17	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
18	18	18	NUM
19	19	19	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
20	20	20	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
21	21	21	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
22	22	22	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
23	23	23	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
24	24	24	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
25	25	25	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
26	26	26	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
27	27	27	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
28	28	28	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
29	29	29	NUM
30	30	30	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
31	31	31	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
32	32	32	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
33	33	33	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
34	34	34	NUM
35	35	35	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
36	36	36	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
38	38	38	NUM
39	39	39	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
40	40	40	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
41	41	41	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
42	42	42	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
43	43	43	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
44	44	44	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
45	45	45	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
46	46	46	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
47	47	47	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
48	48	48	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
49	49	49	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
50	50	50	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
51	51	51	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
52	52	52	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
53	53	53	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
54	54	54	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
55	55	55	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
56	56	56	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
57	57	57	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
58	58	58	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
59	59	59	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
60	60	60	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
61	61	61	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
62	62	62	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
63	63	63	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
64	64	64	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
65	65	65	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
66	66	66	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
67	67	67	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
68	68	68	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
69	69	69	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
70	70	70	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
71	71	71	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
74	74	74	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
75	75	75	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
76	76	76	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
77	77	77	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
78	78	78	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
80	80	80	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
81	81	81	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
82	82	82	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
83	83	83	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
84	84	84	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
85	85	85	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
86	86	86	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
87	87	87	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
88	88	88	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
89	89	89	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
90	90	90	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
91	91	91	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
92	92	92	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
93	93	93	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
94	94	94	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
95	95	95	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
96	96	96	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
97	97	97	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
98	98	98	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
99	99	99	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
100	100	100	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
101	101	101	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
