!	!	_	PUNCT
"	"	''	PUNCT
&	&	&	CCONJ
&	&	&	SYM
(	(	(	PUNCT
)	)	)	PUNCT
*	*	*	SYM
,	,	,	PUNCT
-	-	-	PUNCT
--	--	-	PUNCT
.	.	.	PUNCT
/	/	/	PUNCT
:	:	:	PUNCT
;	;	;	PUNCT
?	?	?	PUNCT
§	§	§	SYM
100	100	100	NUM
102	102	102	NUM
103-	103-	103	NUM
105	105	105	NUM
106	106	106	NUM
1	1	1	NUM
11	11	11	NUM
113	113	113	NUM
114	114	114	NUM
118	118	118	NUM
124	124	124	NUM
128	128	128	NUM
13	13	13	NUM
1¾	1¾	1¾	NUM
14	14	14	NUM
15	15	15	NUM
1708	1708	1708	NUM
1813	1813	1813	NUM
1866	1866	1866	NUM
1869	1869	1869	NUM
1870	1870	1870	NUM
1871	1871	1871	NUM
2	2	2	NUM
24	24	24	NUM
28	28	28	NUM
29	29	29	NUM
'3	'3	'3	NUM
3	3	3	NUM
33	33	33	NUM
¾	¾	¾	NUM
36	36	36	NUM
38	38	38	NUM
43	43	43	NUM
4	4	4	NUM
44	44	44	NUM
50	50	50	NUM
5	5	5	NUM
56	56	56	NUM
58	58	58	NUM
6000	6000	6000	NUM
60	60	60	NUM
62	62	62	NUM
6	6	6	NUM
66	66	66	NUM
68	68	68	NUM
69	69	69	NUM
70	70	70	NUM
72	72	72	NUM
75	75	75	NUM
76	76	76	NUM
7	7	7	NUM
78	78	78	NUM
81	81	81	NUM
84	84	84	NUM
86	86	86	NUM
87	87	87	NUM
8	8	8	NUM
93	93	93	NUM
9	9	9	NUM
ab	ab	ab	ADP.hd
Abbadon	a'ba'don	abadon	PROPN.Masc.Nom.Sg.heb
Abends	å'bends	åbends	ADV	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
Aben-Eck	å'ben'ek	åven/NOUN.Masc+ek	NOUN.Fem.Nom.Sg
Aben-Eck	å'ben'ek	åven/NOUN.Masc+ek	NOUN.Fem.Acc.Sg
Aber	å'ber	åver	ADV
Aber	å'ber	åver	CCONJ
absolut	ab'so'lUt	abslUt	ADV.hd
abslut	ab'slUt	abslUt	ADV	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
Ach	ax	ax	INTJ	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
Acht	axt	axt	NUM.Acc	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
achten	ax'ten	axten	VERB._.Pl.Ind.Prs
achter	ax'ter	axter	ADP
Achter-End'	ax'ter'end	axter/ADP+end	NOUN.Neut.Dat.Sg
ächt	ext	ext	ADJ.Pos.Pred
Achtgröschenstück	axt'grö'Sen'stük	axt/NUM+gröSen/NOUN.Masc+stük	NOUN.Neut.Acc.Sg
achttein	ax'tein	axtein	NUM
achtteinjährig	ax'tein'jÄ'rig	axtein/NUM+jår/NOUN.Neut-"ig	ADJ.Pos.Pred
achtteinjährig	ax'tein'jÄ'rig	axtein/NUM+jår/NOUN.Neut-"ig	ADV
achtteinten	ax'tein'ten	axttein/NUM-t	ADJ.Pos.Masc.Acc.Sg.Def
achtteinten	ax'tein'ten	axttein/NUM-t	ADJ.Pos.Masc.Dat.Sg.Def
Ackergeräth	a'ker'ge'rÄt	aker/NOUN.Masc+gerÄt	NOUN.Neut.Dat.Sg.hd
ademlos	å'dem'lOs	ådem/NOUN.Masc.hd-lOs	ADV
Ademtog	å'dem'tOg	ådem/NOUN.Masc+tOg	NOUN.Masc.Acc.Sg
Adje	ad'jE	adjE	INTJ	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
Adjö	ad'jÖ	ad'jÖ	NOUN.Neut.Nom.Sg
Adler	åd'ler	ådler	NOUN.Masc.Nom.Sg.hd
æberall	œ'ber'al	œver+al	ADV
æberböden	œ'ber'bÖ'den	œver+bEden	VERB._.Pl.Int.Prt.st
æberdragen	œ'ber'drå'gen	œver+drågen	VERB.PPast.st
æbergeben	œ'ber'gE'ben	œver+gÄven	VERB.Inf
æberhaupt	œ'ber'haupt	œver+haupt	ADV
æberkümmst	œ'ber'kÜmst	œver+kåmen	VERB.2.Sg.Ind.Prs
æberleben	œ'ber'lÄ'ben	œver+lÄven	VERB.Inf
æbermächtig	œ'ber'mex'tig	œver/ADV+mextig	ADV
æbern	œ'ber'n	œver	ADP DET.Def.Acc.Sg.Masc.clit
æber'n	œ'ber'n	œver	ADP DET.Def.Masc.Dat.Sg.clit
æber'n	œ'ber'n	œver	ADP DET.Def.Masc.Acc.Sg.clit
æber	œ'ber	œver	ADP
æber	œ'ber	œver	PART
æberraschen	œ'ber'ra'Sen	œver+raSen	VERB.Inf
