uns'	uns	DET	DET.1.Poss.Pl.Fem.Acc	1.0	dict/vocab.json
unsen	unsen	DET	DET.1.Poss.Pl.Masc.Acc	1.0	dict/vocab.json
mien	mIn	DET	DET.1.Poss.Sg.Fem.Acc	1.0	dict/vocab.json
mien'n	mIn	DET	DET.1.Poss.Sg.Fem.Acc	1.0	dict/vocab.json
mienen	mInen	DET	DET.1.Poss.Sg.Masc.Acc	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Pl.Pl.Acc	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Pl.Pl.Nom	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Fem.Acc	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Fem.Nom	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Masc.Acc	1.0	dict/vocab.json
dienen	dInen	DET	DET.2.Poss.Sg.Masc.Acc	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Masc.Nom	1.0	dict/vocab.json
dien	dIn	DET	DET.2.Poss.Sg.Neut.Nom	1.0	dict/vocab.json
sien	sIn	DET	DET.3.Acc.Fem.Masc.Poss.Sg	1.0	dict/vocab.json
sien'	sIn	DET	DET.3.Acc.Fem.Masc.Poss.Sg	1.0	dict/vocab.json
sien'n	sIn	DET	DET.3.Acc.Fem.Masc.Poss.Sg	1.0	dict/vocab.json
sienen	sInen	DET	DET.3.Poss.Sg.Masc.Acc	1.0	dict/vocab.json
sinen	sInen	DET	DET.3.Poss.Sg.Masc.Acc	1.0	dict/vocab.json
sienes	sInes	DET	DET.3.Poss.Sg.Neut.Masc.Acc	1.0	dict/vocab.json
dat	dat	DET	DET.Def.Acc.Sg.Neut.mk	1.0	dict/vocab.json
datt	dat	DET	DET.Def.Acc.Sg.Neut.mk	1.0	dict/vocab.json
dat	dat	DET	DET.Def.Nom.Sg.Neut.mk	1.0	dict/vocab.json
datt	dat	DET	DET.Def.Nom.Sg.Neut.mk	1.0	dict/vocab.json
dissen	disen	DET	DET.Dem.Acc.Sg.Masc	1.0	dict/vocab.json
dit	dit	DET	DET.Dem.Acc.Sg.Neut	1.0	dict/vocab.json
'n	n	DET	DET.Ind.Acc.Sg.Fem	1.0	dict/vocab.json
n'	n	DET	DET.Ind.Acc.Sg.Fem	1.0	dict/vocab.json
nn	n	DET	DET.Ind.Acc.Sg.Fem	1.0	dict/vocab.json
een'	Enen	DET	DET.Ind.Acc.Sg.Masc	1.0	dict/vocab.json
eenen	Enen	DET	DET.Ind.Acc.Sg.Masc	1.0	dict/vocab.json
''n	En	DET	DET.Ind.Acc.Sg.Neut	1.0	dict/vocab.json
''n	En	DET	DET.Ind.Nom.Sg.Fem	1.0	dict/vocab.json
''n	En	DET	DET.Ind.Nom.Sg.Masc	1.0	dict/vocab.json
''n	En	DET	DET.Ind.Nom.Sg.Neut	1.0	dict/vocab.json
Eh'	E	E	INTJ	1.0	dict/vocab.json
enzlich	Entslix	Entslix	ADJ.Dat.Nom.Pos	1.0	dict/vocab.json
eenzlich'	Eentslix	Entslix	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
eenzlich'	Eentslix	Entslix	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
eenzlich'	Eentslix	Entslix	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
eenzlich'	Eentslix	Entslix	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
eenzlich'	Eentslix	Entslix	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
eenzlich'	Eentslix	Entslix	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
eenzlich'	Eentslix	Entslix	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
eenzlich'	Eentslix	Entslix	ADV	0.6965174129353234	dict/vocab.json
Ehrenpoort	ErenpOrt	Eren+pOrt	NOUN.Neut.Acc	1.0	dict/vocab.json
Ehrenpoort	ErenpOrt	Eren+pOrt	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Ehrenpoort	ErenpOrt	Eren+pOrt	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
ilig	Ilig	Ilig	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
ilig	Ilig	Ilig	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
